Scheduler;Workload;NPUarray;Scheduler_runtime(ns);Ttot(s);Etot(mJ);Etot_idle(mJ)
Random;Workload_Medium;3x4096;143040;16.99358159618008;53701.63992178391;65794.78634299203
Random;Workload_Mid-energy skew;3x4096;133442;8.140469315517457;10356.462207248182;53903.39750557878
Random;Workload_High-energy skew;3x4096;144760;27.465052440229588;125715.0027303797;156421.2733206061
Random;Workload_Small;3x4096;115478;10.674808794865275;50439.45046617984;81278.74549436764
Random;Workload_Uniform;3x4096;139520;13.817540193471821;15696.966843880848;63207.50333565999
Random;Workload_Low-energy skew;3x4096;125336;5.881781023739815;10667.937296417966;35152.50834878474
Round-Robin;Workload_Large;4x2304;2529808;32.5798961783605;23244.681502657688;0.0
Round-Robin;Workload_Medium;4x2304;1106059;16.46977514673264;72232.11048771918;54357.59843285651
Round-Robin;Workload_Mid-energy skew;4x2304;899769;8.22725004593976;24553.485611573466;62873.25680567989
Round-Robin;Workload_High-energy skew;4x2304;949647;16.46977514673264;217520.21458717098;4981.204764093823
Round-Robin;Workload_Small;4x2304;446332;12.09356451034546;127894.73401595345;96574.92139913511
Round-Robin;Workload_Uniform;4x2304;1043005;11.040628042309786;24251.453894131366;24993.88206718759
Round-Robin;Workload_Low-energy skew;4x2304;882519;7.006313990744372;47505.0809516897;60867.06794026806
Round-Robin;Workload_Large;1x512_1x1024_1x2304_1x4096;2542836;96.99166745383454;26347.26362895037;667111.7422429682
Round-Robin;Workload_Medium;1x512_1x1024_1x2304_1x4096;1042588;48.4657800841362;128898.08017563238;398754.2373823019
Round-Robin;Workload_Mid-energy skew;1x512_1x1024_1x2304_1x4096;891603;14.572448369151488;27771.513857115104;127676.4679488762
Round-Robin;Workload_High-energy skew;1x512_1x1024_1x2304_1x4096;948363;48.4657800841362;285774.97674025287;332836.9762928293
Round-Robin;Workload_Small;1x512_1x1024_1x2304_1x4096;445155;26.113783359527588;183912.45041401032;237012.42179295298
Round-Robin;Workload_Uniform;1x512_1x1024_1x2304_1x4096;1032233;22.952761439022524;27488.414890131262;137076.9168617866
Round-Robin;Workload_Low-energy skew;1x512_1x1024_1x2304_1x4096;904811;21.39294155982231;93426.15404665822;218489.88850768766
Round-Robin;Workload_Large;4x1024_1x2304;2936267;56.673020428887305;102220.26627879543;242009.472503156
Round-Robin;Workload_Medium;4x1024_1x2304;1193587;29.713307980707533;178857.4928963597;198605.60024071083
Round-Robin;Workload_Mid-energy skew;4x1024_1x2304;992841;13.20159813517772;37400.61125849756;140079.24045792758
