Scheduler;Workload;NPUarray;Scheduler_runtime(ns);Ttot(s);Etot(mJ);Etot_idle(mJ)
Batched-1;Workload_Medium;4x512;277205860;190.82030592377592;8028.981398927396;1810983.5280645518
Batched-1;Workload_VGG;4x512;276556363;32.14015988565771;8028.981398927396;305026.76253719855
Batched-1;Workload_ResNet;4x512;276235286;305.50955569562655;76415.19805697948;2899443.9053677386
Batched-1;Workload_Small;4x512;69243163;49.84012104507186;8388.31911213935;473008.560658231
Batched-1;Workload_MobileNet;4x512;277464240;8.60915793232582;1988.7994395870644;81705.36741606657
Batched-1;Workload_DenseNet;4x512;276628294;417.0223501814936;103643.82865389576;3957758.0769372038
Batched-1;Workload_Large;3x4096;773485121;175.3930895061991;4930.9018547451915;1429718.2540998026
Batched-1;Workload_Medium;3x4096;192828670;44.46052917235906;4999.752416156385;362420.37997974746
Batched-1;Workload_VGG;3x4096;192299955;13.03799599242804;4999.752416156385;106279.33472028615
Batched-1;Workload_ResNet;3x4096;193358000;61.677780919378506;28907.120304411597;502766.95336783637
Batched-1;Workload_Small;3x4096;48600704;11.612590939684813;5223.5167407427625;94660.13336445931
Batched-1;Workload_MobileNet;3x4096;192583001;7.680656025628216;2266.8023680570113;62608.93262225239
Batched-1;Workload_DenseNet;3x4096;195438782;95.44568375200149;41401.67128650262;778026.2992086151
Batched-2;Workload_Large;4x2304;2545362432;167.10991622667112;11346.197466810347;1512264.7039749464
Batched-2;Workload_Medium;4x2304;634217978;54.31798287923633;11944.50791660042;555442.2300595581
Batched-2;Workload_VGG;4x2304;635534025;8.712181067813265;11622.340751328844;63598.42838509673
Batched-2;Workload_ResNet;4x2304;635178861;45.661276455921616;70592.99307214278;333324.7321250782
Batched-2;Workload_Small;4x2304;157514916;15.71551895259756;61603.53371806291;165866.57113330704
Batched-2;Workload_MobileNet;4x2304;631364138;4.031180108114789;4317.745080664444;29427.386485404488
Batched-2;Workload_DenseNet;4x2304;632076114;71.91494708159233;103599.92573861349;524975.0408292022
Batched-2;Workload_Large;1x512_1x1024_1x2304_1x4096;2790572408;136.33507408105774;120623.67725315395;1056033.1821531255
Batched-2;Workload_Medium;1x512_1x1024_1x2304_1x4096;629057380;38.71676019902559;22071.88747458007;355363.6165453498
Batched-2;Workload_VGG;1x512_1x1024_1x2304_1x4096;635049105;8.712181067813265;10893.79846759354;64875.9371509298
Batched-2;Workload_ResNet;1x512_1x1024_1x2304_1x4096;633938948;45.661276455921616;64682.779993068354;353808.08614580386
Batched-2;Workload_Small;1x512_1x1024_1x2304_1x4096;157500167;11.612590939684813;5223.5167407427625;117531.9818823658
Batched-2;Workload_MobileNet;1x512_1x1024_1x2304_1x4096;632557920;4.031180108114789;4463.2493245721;26604.625568047013
Batched-2;Workload_DenseNet;1x512_1x1024_1x2304_1x4096;640110632;71.91494708159233;93887.90643499297;560746.4786833376
Batched-2;Workload_Large;4x1024_1x2304;4237794173;195.5753204265826;130751.4699313718;2240770.924769934
Batched-2;Workload_Medium;4x1024_1x2304;1059678804;54.31798287923633;13527.311565907445;655852.529734745
Batched-2;Workload_VGG;4x1024_1x2304;1054009945;12.971679828983069;14582.791440998173;133156.62610949943
Batched-2;Workload_ResNet;4x1024_1x2304;1054147424;89.83347715241902;34720.96337686152;1188534.2994622188
Batched-2;Workload_Small;4x1024_1x2304;263501942;13.20159813517772;63186.33736736993;142131.06211206975
Batched-2;Workload_MobileNet;4x1024_1x2304;1056974895;4.361966470206;4282.109442468053;44776.37021826863
Batched-2;Workload_DenseNet;4x1024_1x2304;1066582298;141.4846508246011;50955.32957130621;1871900.828987846
Batched-2;Workload_Large;2x512_1x1024_1x2304_1x4096;4241185865;146.83397000597168;12836.790116220167;1750689.9206176475
Batched-2;Workload_Medium;2x512_1x1024_1x2304_1x4096;1062641173;43.27294011717459;11226.063099776187;568646.1410380417
Batched-2;Workload_VGG;2x512_1x1024_1x2304_1x4096;1056605569;8.712181067813265;10893.79846759354;92436.97392659335
Batched-2;Workload_ResNet;2x512_1x1024_1x2304_1x4096;1056633726;45.661276455921616;64682.779993068354;498257.8065808806
Batched-2;Workload_Small;2x512_1x1024_1x2304_1x4096;264490493;26.113783359527588;179629.14526326687;320854.8816946719
Batched-2;Workload_MobileNet;2x512_1x1024_1x2304_1x4096;1241632286;4.031180108114789;4463.2493245721;39357.28788581512
Batched-2;Workload_DenseNet;2x512_1x1024_1x2304_1x4096;1134441558;71.91494708159233;93887.90643499297;788249.8427442905
Batched-2;Workload_Large;3x1024_2x4096;4241764581;141.932746010239;17460.81493956979;1842715.6777529016
Batched-2;Workload_Medium;3x1024_2x4096;1056558646;34.726442074796275;143579.4017605538;392841.3941076944
Batched-2;Workload_VGG;3x1024_2x4096;1060166951;6.627056619787357;10165.256183858235;65759.03839053943
Batched-2;Workload_ResNet;3x1024_2x4096;1052106287;31.350074549259194;58772.56691399392;311080.9027458041
Batched-2;Workload_Small;3x1024_2x4096;264311940;10.674808794865275;57913.97200501019;139541.0924502317
Batched-2;Workload_MobileNet;3x1024_2x4096;1054543559;3.9039851207585845;4608.753568479757;38738.511251816635
Batched-2;Workload_DenseNet;3x1024_2x4096;1053281928;48.51389360037979;84175.88713137247;481394.25611913425
Batched-2;Workload_Large;2x2304_2x4096;2602358706;130.18360286157989;15805.714327099548;1253983.9117468805
Batched-2;Workload_Medium;2x2304_2x4096;661049472;35.65933071227403;12771.770358008058;360717.6118458873
Batched-2;Workload_VGG;2x2304_2x4096;627437960;6.627056619787357;10165.256183858235;48377.13800446935
Batched-2;Workload_ResNet;2x2304_2x4096;628093825;31.350074549259194;58772.56691399392;228853.76871407783
Batched-2;Workload_Small;2x2304_2x4096;159067796;11.612590939684813;5223.5167407427625;132101.32286875194
